t_ms,x_mm,y_mm,heading_deg,v_mm_s,omega_rad_s,pwmL,pwmR
223,1915.9981501191658,500.0,0.0,965.7304877610062,0.0,2000,2000
224,1916.964099817297,500.0,0.0,965.9496981311406,0.0,2000,2000
225,1917.9302643851422,500.0,0.0,966.1645678451214,0.0,2000,2000
226,1918.8966395679959,500.0,0.0,966.3751828536991,0.0,2000,2000
227,1919.8632211954016,500.0,0.0,966.5816274056856,0.0,2000,2000
228,1920.8300051794834,500.0,0.0,966.7839840816541,0.0,2000,2000
229,1921.7969875133103,500.0,0.0,966.9823338269732,0.0,2000,2000
230,1922.7641642692945,500.0,0.0,967.1767559841858,0.0,2000,2000
231,1923.7315315976193,500.0,0.0,967.367328324747,0.0,2000,2000
232,1924.6990857246994,500.0,0.0,967.554127080134,0.0,2000,2000
233,1925.6668229516717,500.0,0.0,967.7372269723397,0.0,2000,2000
234,1926.6347396529154,500.0,0.0,967.9167012437623,0.0,2000,2000
235,1927.602832274602,500.0,0.0,968.0926216865034,0.0,2000,2000
236,1928.571097333273,500.0,0.0,968.2650586710859,0.0,2000,2000
237,1929.5395314144475,500.0,0.0,968.4340811746025,0.0,2000,2000
238,1930.5081311712559,500.0,0.0,968.5997568083086,0.0,2000,2000
239,1931.4768933231005,500.0,0.0,968.7621518446665,0.0,2000,2000
240,1932.4458146543443,500.0,0.0,968.9213312438561,0.0,2000,2000
241,1933.414892013024,500.0,0.0,969.0773586797596,0.0,2000,2000
242,1934.3841223095894,500.0,0.0,969.2302965654317,0.0,2000,2000
243,1935.3535025156675,500.0,0.0,969.3802060780657,0.0,2000,2000
244,1936.323029662851,500.0,0.0,969.5271471834657,0.0,2000,2000
245,1937.292700841511,500.0,0.0,969.671178660033,0.0,2000,2000
246,1938.2625131996333,500.0,0.0,969.8123581222786,0.0,2000,2000
247,1939.2324639416772,500.0,0.0,969.95074204387,0.0,2000,2000
248,1940.2025503274574,500.0,0.0,970.0863857802209,0.0,2000,2000
249,1941.172769671048,500.0,0.0,970.2193435906344,0.0,2000,2000
250,1942.143119339708,500.0,0.0,970.3496686600074,0.0,2000,2000
251,1943.113596752828,500.0,0.0,970.4774131201054,0.0,2000,2000
252,1944.0841993808983,500.0,0.0,970.6026280704159,0.0,2000,2000
253,1945.054924744497,500.0,0.0,970.7253635985884,0.0,2000,2000
254,1946.0257704132973,500.0,0.0,970.8456688004707,0.0,2000,2000
255,1946.996734005097,500.0,0.0,970.9635917997475,0.0,2000,2000
256,1947.9678131848643,500.0,0.0,971.079179767191,0.0,2000,2000
257,1948.9390056638038,500.0,0.0,971.1924789395295,0.0,2000,2000
258,1949.9103091984416,500.0,0.0,971.3035346379423,0.0,2000,2000
259,1950.8817215897277,500.0,0.0,971.4123912861897,0.0,2000,2000
260,1951.8532406821562,500.0,0.0,971.5190924283825,0.0,2000,2000
261,1952.8248643629026,500.0,0.0,971.6236807464,0.0,2000,2000
262,1953.7965905609797,500.0,0.0,971.7261980769644,0.0,2000,2000
263,1954.768417246408,500.0,0.0,971.8266854283744,0.0,2000,2000
264,1955.740342429405,500.0,0.0,971.9251829969106,0.0,2000,2000
265,1956.7123641595879,500.0,0.0,972.0217301829138,0.0,2000,2000
266,1957.6844805251944,500.0,0.0,972.1163656065455,0.0,2000,2000
267,1958.6566896523177,500.0,0.0,972.2091271232372,0.0,2000,2000
268,1959.6289897041565,500.0,0.0,972.3000518388324,0.0,2000,2000
269,1960.601378880281,500.0,0.0,972.3891761244295,0.0,2000,2000
270,1961.5738554159118,500.0,0.0,972.4765356309312,0.0,2000,2000
271,1962.546417581215,500.0,0.0,972.5621653033049,0.0,2000,2000
272,1963.5190636806096,500.0,0.0,972.6460993945614,0.0,2000,2000
273,1964.491792052089,500.0,0.0,972.7283714794561,0.0,2000,2000
274,1965.464601066557,500.0,0.0,972.8090144679201,0.0,2000,2000
275,1966.4374891271752,500.0,0.0,972.888060618224,0.0,2000,2000
276,1967.4104546687252,500.0,0.0,972.9655415498819,0.0,2000,2000
277,1968.3834961569814,500.0,0.0,973.0414882562995,0.0,2000,2000
278,1969.3566120880987,500.0,0.0,973.1159311171722,0.0,2000,2000
279,1970.3298009880093,500.0,0.0,973.1888999106367,0.0,2000,2000
280,1971.3030614118345,500.0,0.0,973.2604238251834,0.0,2000,2000
281,1972.2763919433057,500.0,0.0,973.3305314713317,0.0,2000,2000
282,1973.249791194199,500.0,0.0,973.399250893075,0.0,2000,2000
283,1974.223257803778,500.0,0.0,973.4666095790982,0.0,2000,2000
284,1975.1967904382518,500.0,0.0,973.5326344737738,0.0,2000,2000
285,1976.1703877902398,500.0,0.0,973.59735198794,0.0,2000,2000
286,1977.1440485782493,500.0,0.0,973.6607880094655,0.0,2000,2000
287,1978.1177715461629,500.0,0.0,973.7229679136046,0.0,2000,2000
288,1979.091555462736,500.0,0.0,973.7839165731482,0.0,2000,2000
289,1980.0653991211045,500.0,0.0,973.8436583683725,0.0,2000,2000
290,1981.0393013383014,500.0,0.0,973.9022171967924,0.0,2000,2000
291,1982.013260954784,500.0,0.0,973.95961648272,0.0,2000,2000
292,1982.9872768339708,500.0,0.0,974.015879186635,0.0,2000,2000
293,1983.961347861785,500.0,0.0,974.071027814369,0.0,2000,2000
294,1984.9354729462111,500.0,0.0,974.1250844261086,0.0,2000,2000
295,1985.9096510168563,500.0,0.0,974.1780706452193,0.0,2000,2000
296,1986.8838810245231,500.0,0.0,974.2300076668952,0.0,2000,2000
297,1987.8581619407898,500.0,0.0,974.2809162666373,0.0,2000,2000
298,1988.8324927575984,500.0,0.0,974.3308168085645,0.0,2000,2000
299,1989.806872486852,500.0,0.0,974.3797292535587,0.0,2000,2000
300,1990.781300160019,500.0,0.0,974.4276731672503,0.0,2000,2000
301,1991.755774827747,500.0,0.0,974.4746677278439,0.0,2000,2000
302,1992.7302955594807,500.0,0.0,974.5207317337904,0.0,2000,2000
303,1993.704861443092,500.0,0.0,974.5658836113064,0.0,2000,2000
304,1994.6794715845137,500.0,0.0,974.6101414217449,0.0,2000,2000
305,1995.6541251073825,500.0,0.0,974.6535228688201,0.0,2000,2000
306,1996.6288211526883,500.0,0.0,974.6960453056894,0.0,2000,2000
307,1997.6035588784302,500.0,0.0,974.7377257418945,0.0,2000,2000
308,1998.5783374592804,500.0,0.0,974.7785808501654,0.0,2000,2000
309,1999.5531560862535,500.0,0.0,974.8186269730905,0.0,2000,2000
310,2000.528013966383,500.0,0.0,974.8578801296528,0.0,2000,2000
311,2001.5029103224047,500.0,0.0,974.8963560216382,0.0,2000,2000
312,2002.4778443924445,500.0,0.0,974.9340700399166,0.0,2000,2000
313,2003.452815429715,500.0,0.0,974.9710372705981,0.0,2000,2000
314,2004.427822702216,500.0,0.0,975.007272501068,0.0,2000,2000
315,2005.4028654924418,500.0,0.0,975.0427902259015,0.0,2000,2000
316,2006.3779430970944,500.0,0.0,975.0776046526622,0.0,2000,2000
317,2007.353054826802,500.0,0.0,975.111729707585,0.0,2000,2000
318,2008.3282000058432,500.0,0.0,975.1451790411469,0.0,2000,2000
319,2009.3033779718767,500.0,0.0,975.1779660335271,0.0,2000,2000
320,2010.2785880756767,500.0,0.0,975.21010379996,0.0,2000,2000
321,2011.2538296808727,500.0,0.0,975.2416051959806,0.0,2000,2000
322,2012.2291021636954,500.0,0.0,975.2724828225672,0.0,2000,2000
323,2013.2044049127267,500.0,0.0,975.3027490311823,0.0,2000,2000
324,2014.1797373286554,500.0,0.0,975.3324159287129,0.0,2000,2000
325,2015.1550988240376,500.0,0.0,975.3614953823135,0.0,2000,2000
326,2016.1304888230618,500.0,0.0,975.3899990241532,0.0,2000,2000
327,2017.1059067613178,500.0,0.0,975.417938256069,0.0,2000,2000
328,2018.081352085572,500.0,0.0,975.445324254126,0.0,2000,2000
329,2019.056824253545,500.0,0.0,975.4721679730887,0.0,2000,2000
330,2020.0323227336958,500.0,0.0,975.4984801508026,0.0,2000,2000
331,2021.0078470050082,500.0,0.0,975.5242713124895,0.0,2000,2000
332,2021.9833965567832,500.0,0.0,975.5495517749581,0.0,2000,2000
333,2022.958970888434,500.0,0.0,975.5743316507303,0.0,2000,2000
334,2023.934569509286,500.0,0.0,975.5986208520869,0.0,2000,2000
335,2024.9101919383809,500.0,0.0,975.6224290950324,0.0,2000,2000
336,2025.885837704284,500.0,0.0,975.6457659031813,0.0,2000,2000
337,2026.8615063448956,500.0,0.0,975.6686406115681,0.0,2000,2000
338,2027.8371974072659,500.0,0.0,975.6910623703811,0.0,2000,2000
339,2028.8129104474144,500.0,0.0,975.7130401486229,0.0,2000,2000
340,2029.788645030152,500.0,0.0,975.7345827376977,0.0,2000,2000
341,2030.764400728907,500.0,0.0,975.7556987549284,0.0,2000,2000
342,2031.740177125554,500.0,0.0,975.7763966470035,0.0,2000,2000
343,2032.7159738102473,500.0,0.0,975.7966846933557,0.0,2000,2000
344,2033.6917903812569,500.0,0.0,975.816571009474,0.0,2000,2000
345,2034.667626444807,500.0,0.0,975.8360635501502,0.0,2000,2000
346,2035.6434816149197,500.0,0.0,975.8551701126604,0.0,2000,2000
347,2036.6193555132595,500.0,0.0,975.8738983398844,0.0,2000,2000
